Identifier;Marquee;mrl
camera.0735;AP-7 133 Montornes Valles;rtsp://sct:sct@10.131.100.50:554/axis-media/media.amp?videocodec=h264
camera.0736;AP-7 135,5 Montmeló;rtsp://sct:sct@10.131.100.51:554/axis-media/media.amp?videocodec=h264
camera.0737;AP-7 138,5 Mollet Nord;rtsp://sct:sct@10.131.100.52:554/axis-media/media.amp?videocodec=h264
camera.3311;C-33 89,9 Parets del Vallès;rtsp://sct:sct@10.131.100.80:554/axis-media/media.amp?videocodec=h264
camera.0715;AP-7 40 Bascara;rtsp://sct:sct@10.131.11.3:554/axis-media/media.amp?videocodec=h264
camera.0716;AP-7 44,45 Viladesens;rtsp://sct:sct@10.131.11.4:554/axis-media/media.amp?videocodec=h264
camera.0703;A-9 278,5 ASF2;rtsp://hello:world@10.131.12.17:554/camera-1
camera.0701;A-9 271,8 Le Bolou;rtsp://hello:world@10.131.12.18:554/camera-1
camera.0702;A-9 276,5 ASF3;rtsp://hello:world@10.131.12.19:554/camera-1
camera.0704;A-9 279 Frontera França;rtsp://hello:world@10.131.12.21:554/camera-1
camera.0713;AP-7 29 Figueres Sud;rtsp://hello:world@10.131.12.22:554/camera-1
camera.0714;AP-7 32 Borrassa;rtsp://sct:sct@10.131.12.23:554/axis-media/media.amp?videocodec=h264
camera.0710;AP-7 15,4 Biure;rtsp://sct:sct@10.131.13.3:554/axis-media/media.amp?videocodec=h264
camera.0711;AP-7 20 Figueres Nord;rtsp://hello:world@10.131.13.4:554/camera-1
camera.0712;AP-7 23,85 Figueres Centre;rtsp://hello:world@10.131.13.5:554/camera-1
camera.0708;AP-7 6,5 Barrera Agullana;rtsp://sct:sct@10.131.15.3:554/axis-media/media.amp?videocodec=h264
camera.0709;AP-7 8,75 Agullana;rtsp://sct:sct@10.131.15.4:554/axis-media/media.amp?videocodec=h264
camera.0706;AP-7 1,775 Jonquera;rtsp://sct:sct@10.131.16.3:554/axis-media/media.amp?videocodec=h264
camera.0707;AP-7 3,5 Aduana;rtsp://sct:sct@10.131.16.4:554/axis-media/media.amp?videocodec=h264
camera.0705;AP-7 0 Frontera;rtsp://sct:sct@10.131.16.5:554/axis-media/media.amp?videocodec=h264
camera.3219;C-32S 35,07 Sitges;rtsp://sct:sct@10.131.196.47:554/axis-media/media.amp?videocodec=h264
camera.3218;C-32S 35,72 Sitges;rtsp://sct:sct@10.131.196.48:554/axis-media/media.amp?videocodec=h264
camera.3217;C-32S 37,98 Sitges;rtsp://sct:sct@10.131.196.73:554/axis-media/media.amp?videocodec=h264
camera.3216;C-32S 39,06 Sitges Garraf;rtsp://sct:sct@10.131.196.84:554/axis-media/media.amp?videocodec=h264
camera.3227;C-32S 21,5 Vilanova Centre;rtsp://root:root@10.131.197.20:554/axis-media/media.amp?videocodec=h264
camera.3226;C-32S 23,35 S. Pere de Ribes;rtsp://hello:world@10.131.197.21:554/camera-1
camera.3225;C-32S 25,48 S. Pere de Ribes;rtsp://root:root@10.131.197.22:554/axis-media/media.amp?videocodec=h264
camera.3224;C-32S 28,3 S. Pere de Ribes;rtsp://sct:sct@10.131.197.23:554/axis-media/media.amp?videocodec=h264
camera.3223;C-32S 31,16 Sitges Centre;rtsp://sct:sct@10.131.197.25:554/axis-media/media.amp?videocodec=h264
camera.3222;C-32S 31,73 Sitges Nord;rtsp://sct:sct@10.131.197.28:554/axis-media/media.amp?videocodec=h264
camera.3221;C-32S 34,02 Sitges Peatge;rtsp://sct:sct@10.131.197.45:554/axis-media/media.amp?videocodec=h264
camera.3220;C-32S 34,4 Sitges;rtsp://sct:sct@10.131.197.46:554/axis-media/media.amp?videocodec=h264
camera.3215;C-32S 40,67 Sitges;rtsp://sct:sct@10.131.198.34:554/axis-media/media.amp?videocodec=h264
camera.3214;C-32S 42,2 Sitges Botigues;rtsp://sct:sct@10.131.198.42:554/axis-media/media.amp?videocodec=h264
camera.0733;AP-7 129 Peatge La Roca;rtsp://sct:sct@10.131.3.3:554/axis-media/media.amp?videocodec=h264
camera.0731;AP-7 123,04 Cardedeu;rtsp://sct:sct@10.131.4.3:554/axis-media/media.amp?videocodec=h264
camera.0730;AP-7 117 Llinars del valles;rtsp://sct:sct@10.131.4.4:554/camera-1
camera.0732;AP-7 124,8 La Roca;rtsp://desconocida:desconocida@10.131.4.7:554/axis-media/media.amp?videocodec=h264
camera.4002;C-32 85,515 Alella;rtsp://:@10.131.45.4:554/FALSO
camera.4004;C-32 87,47 El Masnou;rtsp://hello:world@10.131.45.5:554/camera-1
camera.4005;C-32 89 El Masnou;rtsp://hello:world@10.131.47.3:554/camera-1
camera.4006;C-32 90,22 Premià de dalt;rtsp://hello:world@10.131.47.4:554/camera-1
camera.4007;C-32 92 Peatge Vilassar;rtsp://sct:sct@10.131.47.5:554/axis-media/media.amp?videocodec=h264
camera.4008;C-32 93,85 Cabrils;rtsp://sct:sct@10.131.47.6:554/axis-media/media.amp?videocodec=h264
camera.4009;C-32 96,6 Cabrera / N-II;rtsp://sct:sct@10.131.47.7:554/axis-media/media.amp?videocodec=h264
camera.4015;C-32 104,1 Mataró / N-II;rtsp://sct:sct@10.131.48.10:554/axis-media/media.amp?videocodec=h264
camera.4016;C-32 106,5 S. A. Llavaneras;rtsp://sct:sct@10.131.48.11:554/axis-media/media.amp?videocodec=h264
camera.4010;C-32 97,645 Argentona;rtsp://hello:world@10.131.48.3:554/camera-1
camera.4011;C-32 98,8 Argentona;rtsp://sct:sct@10.131.48.4:554/camera-1
camera.4012;C-32 99,5 Argentona Tunel 0;rtsp://hello:world@10.131.48.5:554/camera-1
camera.4013;C-32 100,5 Mataró Tunel 0;rtsp://hello:world@10.131.48.8:554/camera-1
camera.4014;C-32 102,5 Mataró Nord;rtsp://hello:world@10.131.48.9:554/camera-1
camera.4017;C-32 108,4 S V Montalt;rtsp://sct:sct@10.131.49.3:554/axis-media/media.amp?videocodec=h264
camera.0728;AP-7 107,2 Sant Celoni;rtsp://hello:world@10.131.5.4:554/camera-1
camera.0729;AP-7 111 Sant Celoni;rtsp://sct:sct@10.131.5.6:554/axis-media/media.amp?videocodec=h264
camera.4018;C-32 110,6 Arenys Peatge;rtsp://hello:world@10.131.51.3:554/camera-1
camera.4019;C-32 112,4 Arenys;rtsp://hello:world@10.131.51.4:554/camera-1
camera.4020;C-32 113,8 Canet de Mar;rtsp://hello:world@10.131.51.5:554/camera-1
camera.4021;C-32 114,9 Canet Tunel 1;rtsp://sct:sct@10.131.51.6:554/camera-1
camera.4022;C-32 117,4 Sant Pol de Mar;rtsp://sct:sct@10.131.51.7:554/axis-media/media.amp?videocodec=h264
camera.4028;C-32 126,3 S. Susanna Tunel 3;rtsp://hello:world@10.131.52.10:554/camera-1
camera.4029;C-32 127,4 Santa Susanna;rtsp://hello:world@10.131.52.13:554/camera-1
camera.4030;C-32 127,9 S. Susanna Tunel 4;rtsp://hello:world@10.131.52.14:554/camera-1
camera.4031;C-32 128,6 Palafolls Tunel;rtsp://hello:world@10.131.52.15:554/camera-1
camera.4032;C-32 130,8 Palafolls;rtsp://hello:world@10.131.52.17:554/camera-1
camera.4033;C-32 131,7 Palafolls;rtsp://hello:world@10.131.52.25:554/camera-1
camera.4034;C-32 132,6 Palafolls;rtsp://hello:world@10.131.52.26:554/camera-1
camera.4035;C-32 134,6 Palafolls;rtsp://hello:world@10.131.52.28:554/camera-1
camera.4023;C-32 118,7 St. Pol Tunel 2;rtsp://hello:world@10.131.52.3:554/camera-1
camera.4024;C-32 119,5 St. Pol Tunel;rtsp://hello:world@10.131.52.4:554/camera-1
camera.4025;C-32 122,3 Callella Sortida;rtsp://hello:world@10.131.52.7:554/camera-1
camera.4026;C-32 124,55 Pineda Sortida;rtsp://hello:world@10.131.52.8:554/camera-1
camera.4027;C-32 125,4 Tordera Tunel 3;rtsp://hello:world@10.131.52.9:554/camera-1
camera.0771;AP-7 186,7 Subirats;rtsp://hello:world@10.131.55.12:554/camera-1
camera.2315;AP-2 14,45 Enllaç AP-7;rtsp://hello:world@10.131.55.3:554/camera-1
camera.0767;AP-7 173,9 Castellvi de R.;rtsp://hello:world@10.131.55.6:554/camera-1
camera.0760;AP-7 161,7 Papiol;rtsp://hello:world@10.131.55.7:554/camera-1
camera.0768;AP-7 176,7 Gelida;rtsp://hello:world@10.131.57.4:554/camera-1
camera.0769;AP-7 181,4 Sant Sadurní;rtsp://sct:sct@10.131.58.4:554/axis-media/media.amp?videocodec=h264
camera.0770;AP-7 182,8 Sant Sadurní;rtsp://sct:sct@10.131.58.5:554/axis-media/media.amp?videocodec=h264
camera.0772;AP-7 190,4 Avinyonet;rtsp://sct:sct@10.131.59.3:554/axis-media/media.amp?videocodec=h264
camera.0773;AP-7 193,5 Vilafranca Nord;rtsp://hello:world@10.131.59.4:554/camera-1
camera.0724;AP-7 87,05 Maçanet;rtsp://sct:sct@10.131.6.3:554/camera-1
camera.0725;AP-7 89,7 Maçanet;rtsp://sct:sct@10.131.6.4:554/camera-1
camera.0726;AP-7 95 Hostalric;rtsp://sct:sct@10.131.6.6:554/axis-media/media.amp?videocodec=h264
camera.0727;AP-7 100,8 Sant Celoni;rtsp://hello:world@10.131.6.8:554/camera-1
camera.0774;AP-7 195,5 Vilafranca Centre;rtsp://sct:sct@10.131.60.3:554/axis-media/media.amp?videocodec=h264
camera.0775;AP-7 197,5 Vilafranca;rtsp://hello:world@10.131.60.4:554/camera-1
camera.0755;AP-7 158,9 St. Cugat;rtsp://hello:world@10.131.61.4:554/camera-1
camera.0756;AP-7 159,815 Sant Cugat;rtsp://hello:world@10.131.61.5:554/camera-1
camera.0750;AP-7 153,7 St. Cugat;rtsp://hello:world@10.131.61.6:554/camera-1
camera.0776;AP-7 200 Vilafranca Sud;rtsp://sct:sct@10.131.62.4:554/axis-media/media.amp?videocodec=h264
camera.0777;AP-7 204,025 Castellet;rtsp://hello:world@10.131.62.5:554/camera-1
camera.0780;AP-7 217 El Vendrell;rtsp://hello:world@10.131.63.3:554/camera-1
camera.0781;AP-7 218,6 El Vendrell;rtsp://hello:world@10.131.63.4:554/camera-1
camera.0782;AP-7 220,5 Peatge El Vendrell;rtsp://sct:sct@10.131.63.5:554/axis-media/media.amp?videocodec=h264
camera.0783;AP-7 224 Roda de Barà;rtsp://hello:world@10.131.63.7:554/camera-1
camera.0784;AP-7 225,8 Roda de Barà;rtsp://hello:world@10.131.63.8:554/camera-1
camera.0785;AP-7 233 Altafulla;rtsp://sct:sct@10.131.64.3:554/axis-media/media.amp?videocodec=h264
camera.0788;AP-7 247 Peatge Tarragona;rtsp://hello:world@10.131.65.10:554/camera-1
camera.0790;AP-7 251,6 Reus;rtsp://hello:world@10.131.66.3:554/camera-1
camera.0791;AP-7 254,11 Reus;rtsp://hello:world@10.131.66.4:554/camera-1
camera.0792;AP-7 257 Salou;rtsp://sct:sct@10.131.66.5:554/axis-media/media.amp?videocodec=h264
camera.0722;AP-7 79,3 Sils;rtsp://hello:world@10.131.7.17:554/camera-1
camera.0723;AP-7 85 Sort. Vidreres;rtsp://sct:sct@10.131.7.18:554/camera-1
camera.0209;AP-2 114,2 Fraga;rtsp://root:root@10.131.74.4:554/camera-1
camera.0208;AP-2 127,3 Soses;rtsp://root:root@10.131.75.3:554/camera-1
camera.0207;AP-2 140,2 Accés Lleida;rtsp://root:root@10.131.76.3:554/camera-1
camera.0206;AP-2 160,8 Borges Blanques;rtsp://root:root@10.131.77.3:554/camera-1
camera.0205;AP-2 174,2 L'albi;rtsp://root:root@10.131.78.4:554/axis-media/media.amp?videocodec=h264
camera.0204;AP-2 178,7 Vinaixa;rtsp://root:root@10.131.78.5:554/axis-media/media.amp?videocodec=h264
camera.0203;AP-2 193 Montblanc;rtsp://root:root@10.131.79.3:554/camera-1
camera.0721;AP-7 71 Riudellots;rtsp://sct:sct@10.131.8.4:554/camera-1
camera.0202;AP-2 202,7 Cabra del camp;rtsp://root:root@10.131.80.3:554/axis-media/media.amp?videocodec=h264
camera.0779;AP-7 212 Enllaç AP-2;rtsp://hello:world@10.131.83.11:554/camera-1
camera.0201;AP-2 232,1 Banyeres Penedes;rtsp://hello:world@10.131.83.13:554/camera-1
camera.0778;AP-7 208,5 Banyeres Penedes;rtsp://hello:world@10.131.83.9:554/camera-1
camera.0719;AP-7 60,8 Sant Gregori;rtsp://sct:sct@10.131.9.3:554/camera-1
camera.0720;AP-7 64 Girona Sud;rtsp://hello:world@10.131.9.4:554/camera-1
camera.3233;C-32S 9,91 Calafell;rtsp://sct:sct@10.131.97.20:554/axis-media/media.amp?videocodec=h264
camera.3232;C-32S 11,55 Cunit;rtsp://sct:sct@10.131.97.21:554/axis-media/media.amp?videocodec=h264
camera.3231;C-32S 13,8 Cubelles;rtsp://hello:world@10.131.97.23:554/camera-1
camera.3230;C-32S 15,93 Cubelles;rtsp://sct:sct@10.131.97.24:554/axis-media/media.amp?videocodec=h264
camera.3229;C-32S 18 Vilanova;rtsp://sct:sct@10.131.97.25:554/axis-media/media.amp?videocodec=h264
camera.3228;C-32S 19,5 Vilanova;rtsp://sct:sct@10.131.97.26:554/axis-media/media.amp?videocodec=h264
camera.3237;C-32S 1,96 Vendrell;rtsp://root:root@10.131.99.20:554/axis-media/media.amp?videocodec=h264
camera.3236;C-32S 3,55 Vendrell;rtsp://sct:sct@10.131.99.21:554/axis-media/media.amp?videocodec=h264
camera.3235;C-32S 5,9 Calafell;rtsp://hello:world@10.131.99.23:554/camera-1
camera.3234;C-32S 9,12 Calafell;rtsp://hello:world@10.131.99.31:554/camera-1
camera.0747;AP-7 151,6 Bellaterra;rtsp://hello:world@10.137.229.38:554/camera-1
camera.1601;C-16 1,5 -;rtsp://hello:world@10.136.34.141:554/camera-1
camera.1602;C-16 2,089 -;rtsp://hello:world@10.136.34.142:554/camera-1
camera.1603;C-16 3,768 -;rtsp://hello:world@10.136.34.143:554/camera-1
camera.1604;C-16 4,763 -;rtsp://hello:world@10.136.34.144:554/camera-1
camera.1605;C-16 5,2 -;rtsp://hello:world@10.136.34.145:554/camera-1
camera.1606;C-16 6,06 -;rtsp://hello:world@10.136.34.146:554/camera-1
camera.1607;C-16 6,8 -;rtsp://hello:world@10.136.34.147:554/camera-1
camera.1608;C-16 6,9 -;rtsp://hello:world@10.136.34.148:554/camera-1
camera.1609;C-16 7,3 -;rtsp://hello:world@10.136.34.149:554/camera-1
camera.0748;AP-7/B-30 152,7 Bellaterra;rtsp://hello:world@10.137.229.39:554/camera-1
camera.1610;C-16 8,38 -;rtsp://hello:world@10.136.34.150:554/camera-1
camera.1611;C-16 9,26 -;rtsp://hello:world@10.136.34.151:554/camera-1
camera.1612;C-16 10,58 -;rtsp://hello:world@10.136.34.152:554/camera-1
camera.1613;C-16 12,15 -;rtsp://hello:world@10.136.34.153:554/camera-1
camera.1614;C-16 13,3 -;rtsp://hello:world@10.136.34.154:554/camera-1
camera.0749;AP-7/B-30 153,3 St. Cugat;rtsp://hello:world@10.137.229.40:554/camera-1
camera.0751;AP-7/B-30 154 St. Cugat;rtsp://hello:world@10.137.229.41:554/camera-1
camera.0752;AP-7/B-30 154,6 St. Cugat;rtsp://hello:world@10.137.229.42:554/camera-1
camera.0753;AP-7/B-30 155,6 St. Cugat;rtsp://hello:world@10.137.229.43:554/camera-1
camera.0754;AP-7/B-30 157 St. Cugat;rtsp://hello:world@10.137.229.44:554/camera-1
camera.0761;AP-7 164,965 Castellbisbal;rtsp://root:root@10.137.243.228:554/axis-media/media.amp?videocodec=h264
camera.0762;AP-7 166,6 Castellbisbal;rtsp://root:root@10.137.243.229:554/axis-media/media.amp?videocodec=h264
camera.0763;AP-7 168,112 Castellbisbal;rtsp://root:root@10.137.243.230:554/axis-media/media.amp?videocodec=h264
camera.0764;AP-7 169,722 Martorell;rtsp://root:root@10.137.243.231:554/axis-media/media.amp?videocodec=h264
camera.0765;AP-7 171,19 Peatge Martorell;"rtsp://root:root@10.137.243.232:554/axis-media/media.amp?videocodec=h264"
camera.0766;AP-7 171,67 Peatge Martorell;rtsp://root:root@10.137.243.233:554/axis-media/media.amp?videocodec=h264
camera.0793;AP-7 258,9 Vila-Seca;rtsp://root:root@10.149.2.129:554/axis-media/media.amp?videocodec=h264
camera.0797;AP-7 270,8 Mont-Roig del Camp;rtsp://root:root@10.149.3.129:554/axis-media/media.amp?videocodec=h264
camera.0798;AP-7 274,8 Mont-Roig del Camp;rtsp://root:root@10.149.3.130:554/axis-media/media.amp?videocodec=h264
camera.0802;AP-7 288 Vandellós;rtsp://hello:world@10.149.3.131:554/camera-1
camera.0803;AP-7 295,2 L'Ametlla de Mar;rtsp://hello:world@10.149.4.129:554/camera-1
camera.0807;AP-7 303,5 El Perelló;rtsp://hello:world@10.149.15.129:554/camera-1
camera.0818;AP-7 333,3 Freginals;rtsp://hello:world@10.149.6.129:554/camera-1
camera.0819;AP-7 337,3 Ulldecona;rtsp://hello:world@10.149.7.129:554/camera-1
camera.0820;AP-7 341,3 Ulldecona;rtsp://hello:world@10.149.7.130:554/camera-1
camera.1101;A-2 609,2 Cornellà;rtsp://root:root@10.137.245.36:554/axis-media/media.amp?videocodec=h264
camera.1102;A-2 608,07 St. Joan Despí;rtsp://root:root@10.137.245.37:554/axis-media/media.amp?videocodec=h264
camera.1103;A-2 607,4 Enllaç C-245;rtsp://root:root@10.137.245.38:554/axis-media/media.amp?videocodec=h264
camera.1104;A-2 606,14 Sant Joan Despí;rtsp://root:root@10.137.245.39:554/axis-media/media.amp?videocodec=h264
camera.1105;A-2 605,58 S. Feliu Llob.;rtsp://root:root@10.137.245.40:554/axis-media/media.amp?videocodec=h264
camera.1106;A-2 (Baix) 603,363 Enllaç B-23;rtsp://root:root@10.137.245.41:554/axis-media/media.amp?videocodec=h264
camera.1107;A-2 (Baix) 602,55 Sant Vicenç H.;rtsp://root:root@10.137.245.42:554/axis-media/media.amp?videocodec=h264
camera.1108;A-2 (Baix) 601,325 Sant Vicenç H.;rtsp://root:root@10.137.245.43:554/axis-media/media.amp?videocodec=h264
camera.1109;A-2 (Baix) 600,077 Pallejà;rtsp://root:root@10.137.241.100:554/axis-media/media.amp?videocodec=h264
camera.1110;A-2 (Baix) 598,59 Enllaç B-24;rtsp://root:root@10.137.241.101:554/axis-media/media.amp?videocodec=h264
camera.1111;A-2 (Baix) 597,279 Pallejà;rtsp://root:root@10.137.241.102:554/axis-media/media.amp?videocodec=h264
camera.1112;A-2 (Baix) 595,743 St. Andreu Bar;rtsp://root:root@10.137.241.103:554/axis-media/media.amp?videocodec=h264
camera.1113;A-2 (Baix) 594,127 St. Andreu Bar;rtsp://root:root@10.137.241.104:554/axis-media/media.amp?videocodec=h264
camera.1114;A-2 (Baix) 592,576 Castellbisbal;rtsp://root:root@10.137.241.105:554/axis-media/media.amp?videocodec=h264
camera.1115;A-2 (Baix) 591,509 Castellbisbal;rtsp://root:root@10.137.241.106:554/axis-media/media.amp?videocodec=h264
camera.1116;A-2 (Baix) 590,63 Castellbisbal;rtsp://root:root@10.137.241.107:554/axis-media/media.amp?videocodec=h264
camera.1117;A-2 (Baix) 589,18 Martorell;rtsp://root:root@10.137.241.108:554/axis-media/media.amp?videocodec=h264
camera.1118;A-2 (Baix) 587,471 Martorell;rtsp://root:root@10.137.241.109:554/axis-media/media.amp?videocodec=h264
camera.1119;A-2 (Baix) 586,3 Enllaç AP-7;rtsp://root:root@10.137.241.110:554/axis-media/media.amp?videocodec=h264
camera.1120;A-2 (Baix) 585,294 Abrera;rtsp://root:root@10.137.241.111:554/axis-media/media.amp?videocodec=h264
camera.1121;A-2 (Baix) 583,68 Enllaç C-55;rtsp://root:root@10.137.241.112:554/axis-media/media.amp?videocodec=h264
camera.1122;A-2 (Baix) 579,05 Esparraguera;rtsp://root:root@10.137.245.101:554/axis-media/media.amp?videocodec=h264
camera.1123;A-2 (Baix) 570,65 Bruc;rtsp://root:root@10.137.245.102:554/axis-media/media.amp?videocodec=h264
camera.1124;A-2 (Baix) 562,75 Castellolí;rtsp://root:root@10.137.245.103:554/axis-media/media.amp?videocodec=h264
camera.1125;A-2 (Baix) 560,575 Castellolí;rtsp://root:root@10.137.245.165:554/axis-media/media.amp?videocodec=h264
camera.1126;A-2 (Baix) 548,675 Jorba;rtsp://root:root@10.137.245.166:554/axis-media/media.amp?videocodec=h264
camera.1127;A-2 (Baix) 545 Jorba;rtsp://root:root@10.137.245.167:554/axis-media/media.amp?videocodec=h264
camera.1128;A-2 (Baix) 534,5 Montmaneu;rtsp://root:root@10.137.245.168:554/axis-media/media.amp?videocodec=h264
camera.1129;A-2 (Baix) 531,95 Panadella;rtsp://root:root@10.137.245.169:554/axis-media/media.amp?videocodec=h264
camera.1130;A-2 (Baix) 524,35 Cervera;rtsp://root:root@10.137.245.170:554/axis-media/media.amp?videocodec=h264
camera.1131;A-2 (Baix) 516,95 Cervera;rtsp://root:root@10.137.245.171:554/axis-media/media.amp?videocodec=h264
camera.1132;A-2 (Baix) 512,75 Tàrrega;rtsp://root:root@10.137.245.172:554/axis-media/media.amp?videocodec=h264
camera.1133;A-2 (Baix) 501,165 Vilagrassa;rtsp://root:root@10.137.245.229:554/axis-media/media.amp?videocodec=h264
camera.1134;A-2 (Baix) 489,775 Bellpuig;rtsp://root:root@10.137.245.230:554/axis-media/media.amp?videocodec=h264
camera.1135;A-2 (Baix) 479,95 Bell-lloc;rtsp://root:root@10.137.245.231:554/axis-media/media.amp?videocodec=h264
camera.1136;A-2 (Baix) 477,75 Bell-lloc;rtsp://root:root@10.137.245.232:554/axis-media/media.amp?videocodec=h264
camera.1137;A-2 (Baix) 469,4 Alcoletge;rtsp://root:root@10.137.245.233:554/axis-media/media.amp?videocodec=h264
camera.1138;A-2 (Baix) 456,725 Lleida;rtsp://root:root@10.137.245.234:554/axis-media/media.amp?videocodec=h264
camera.1139;A-2 (Baix) 450,5 Alcarras;rtsp://root:root@10.137.241.165:554/axis-media/media.amp?videocodec=h264
camera.1140;A-2 (Baix) 445 Soses;rtsp://root:root@10.137.241.166:554/axis-media/media.amp?videocodec=h264
camera.1615;C-16 14,85 -;rtsp://hello:world@10.136.34.12:554/camera-1
camera.1616;C-16 18,13 -;rtsp://hello:world@10.136.34.15:554/camera-1
camera.1617;C-16 20,475 -;rtsp://hello:world@10.136.34.17:554/camera-1
camera.1618;C-16 21,7 Terrassa;rtsp://hello:world@10.137.229.137:554/camera-1
camera.1619;C-16 22,35 Terrassa;rtsp://hello:world@10.136.34.18:554/camera-1
camera.1620;C-16 22,6 Terrassa Centre;rtsp://hello:world@10.137.229.138:554/camera-1
camera.1649;C-16 97,5 Berga;rtsp://root:root@172.17.32.38:554/axis-media/media.amp?videocodec=h264
camera.1650;C-16 99,9 Cercs;rtsp://root:root@172.17.32.71:554/axis-media/media.amp?videocodec=h264
camera.1651;C-16 101,2 Cercs;rtsp://root:root@172.17.32.72:554/axis-media/media.amp?videocodec=h264
camera.1652;C-16 104,2 Cercs;rtsp://root:root@172.17.32.24:554/axis-media/media.amp?videocodec=h264
camera.1653;BV-4022 1,75 Cercs;rtsp://root:root@172.17.32.25:554/axis-media/media.amp?videocodec=h264
camera.1654;BV-4025 0,6 Cercs;rtsp://root:root@172.17.32.26:554/axis-media/media.amp?videocodec=h264
camera.1655;C-16 110 La Nou de Berguedà;rtsp://root:root@172.17.32.45:554/axis-media/media.amp?videocodec=h264
camera.1656;C-16 112,4 Guardiola de Berguedà;rtsp://root:root@172.17.32.46:554/axis-media/media.amp?videocodec=h264
camera.1657;C-16 114,9 Guardiola de Berguedà;rtsp://root:root@172.17.32.52:554/axis-media/media.amp?videocodec=h264
camera.1658;C-16 118,9 Bagà;rtsp://root:root@172.17.32.111:554/axis-media/media.amp?videocodec=h264
camera.1659;C-16 120,1 Bagà;rtsp://root:root@172.17.32.112:554/axis-media/media.amp?videocodec=h264
camera.1660;C-16 120,82 Bagà;rtsp://root:root@172.17.32.113:554/axis-media/media.amp?videocodec=h264
camera.1661;C-16 122,3 Guardiola de Berguedà;rtsp://root:root@172.17.32.114:554/axis-media/media.amp?videocodec=h264
camera.1662;C-16 123,34 -;rtsp://root:root@172.17.32.119:554/axis-media/media.amp?videocodec=h264
camera.1663;C-16 123,86 -;rtsp://root:root@172.17.32.120:554/axis-media/media.amp?videocodec=h264
camera.1664;C-16 129,195 -;rtsp://root:root@172.17.32.121:554/axis-media/media.amp?videocodec=h264
camera.1665;C-16 129,54 -;rtsp://root:root@172.17.32.122:554/axis-media/media.amp?videocodec=h264
camera.1666;C-16 129,72 -;rtsp://root:root@172.17.32.123:554/axis-media/media.amp?videocodec=h264
camera.1667;C-16 130,75 -;rtsp://root:root@172.17.32.124:554/axis-media/media.amp?videocodec=h264
camera.1704;C-17 9,85 Mollet del Vallès;rtsp://hello:world@10.136.42.223:554/camera-1
camera.1705;C-17 12,05 Mollet del Vallès;rtsp://root:root@10.136.42.224:554/axis-media/media.amp?videocodec=h264
camera.1706;C-17 13,625 Mollet del Vallès;rtsp://hello:world@10.136.42.225:554/camera-1
camera.1708;C-17 15,7 Parets del Vallès;rtsp://root:root@10.136.42.227:554/axis-media/media.amp?videocodec=h264
camera.1709;C-17 17,6 Llicà de Vall;rtsp://hello:world@10.136.42.228:554/camera-1
camera.1712;C-17 29,35 Parets del Vallès;rtsp://hello:world@10.136.42.231:554/camera-1
camera.1713;C-17 29,9 Granollers;rtsp://root:root@10.136.42.232:554/axis-media/media.amp?videocodec=h264
camera.1714;C-17 31,3 Granollers;rtsp://root:root@10.136.42.233:554/axis-media/media.amp?videocodec=h264
